sample	TAL1	MEIS1	RUNX1	NPM1	FLT3	MPO	SPI1	ELANE	IDH1	KIT	GATA1	KLF1	DNMT3A	CSF3R	GATA2	IDH2	SOD1	cell_type
 HSC CD38- CD34+	12.1477077179	10.1397350647	12.3167542276	13.3832413962	9.03442305575	9.2800976793	6.1242530911	6.19985057826	12.0763392489	10.6562504847	6.33586477641	9.05376724675	6.40690019495	5.47243045819	11.3809052255	9.39086648838	11.7955918137	 HSC CD38- CD34+
 HSC CD38- CD34+.1	12.1976298722	10.702625459	12.2938481961	13.3611973093	9.26236124932	7.14576808534	6.13493149107	5.58113238809	11.8657907426	10.6770010132	5.92207514181	7.22760058453	5.778715469	5.69163750959	11.3020221852	9.15635177183	11.6022074256	 HSC CD38- CD34+
 HSC CD38- CD34+.2	12.3686264283	10.6975057319	12.3611970271	13.2485505855	9.18101788288	8.0470842719	6.65656402329	5.86576475425	11.8329545119	11.0292628808	5.74596559	7.72724432056	6.9875085903	5.58144822227	10.7719384707	9.56644333936	11.9167222525	 HSC CD38- CD34+
 HSC CD38- CD34+.3	12.0599357206	10.496573401	12.4024046783	13.2890568451	9.99879187315	7.63411298698	6.01564947772	5.43625454408	11.8707074327	10.4568750052	5.75062621578	6.85569953105	5.8233975048	5.34674278267	10.9222472632	8.98755005632	11.7286167699	 HSC CD38- CD34+
B-cell class can switch	6.59475661294	5.61998160999	10.8455224525	13.1080186105	5.33639219945	5.81094361578	6.5658979263	5.37240336806	10.388342008	6.0763521174	5.66526181572	5.4053029182	5.61970510842	5.26465530309	6.65789963414	8.3633530521	10.9409317451	B-cell class can switch
B-cell class can switch.1	6.33470396306	5.39200165375	10.6980669805	13.1268956137	5.42184775821	5.7078910312	6.62400284313	5.13785332598	10.2520193472	6.3096404272	5.66065678215	5.1141004518	5.72529431633	5.5644931683	5.91193848536	8.67217812265	11.2545401679	B-cell class can switch
B-cell class can switch.2	6.33709591835	5.41310292704	10.6856491212	13.0726422299	5.56802779328	6.08071821948	6.4363160213	5.3700642054	10.4674982515	5.88647229146	5.64293065718	5.18466001356	5.51292428179	5.32972677033	6.21643549644	7.87351662536	10.878537226	B-cell class can switch
B-cell class can switch.3	7.17398703772	5.67182853669	10.0684153191	13.0993584865	5.40232792848	6.16212657385	6.51693117605	5.44818553168	9.70012475207	6.00065408822	5.70335391489	6.25205472534	5.41780214551	5.45070361338	6.00705373554	7.96550276065	11.0194781281	B-cell class can switch
B-cell class can switch.4	6.49425877279	5.64093303931	10.5641338088	12.9741821423	5.3881773896	5.87753302513	6.75549406005	5.52112112834	9.92634199075	5.93031489374	5.48634280602	5.20548441198	5.83679634795	5.3165221053	6.0215999393	8.69966336438	10.927784259	B-cell class can switch
B-cell class switched	6.48227362258	5.43420895551	10.4024993989	13.0803272451	5.33127825196	5.78608587416	6.62287867527	5.25395130034	10.5447635424	6.10577114072	5.48298388129	4.86102088541	5.40592786608	5.08665071213	5.84040560067	8.36609279893	11.2722812805	B-cell class switched
B-cell class switched.1	6.06922323777	5.71536646393	8.83148876573	13.1032304893	5.24454989539	5.92567438009	6.17796049475	5.23480368262	8.95271005605	6.07306307171	5.48240717552	5.67660485523	5.58870598853	5.36990619363	6.31092638368	7.41673895494	10.6378766696	B-cell class switched
B-cell class switched.2	6.46079327591	5.08868819459	10.2355716998	13.0437673682	5.3628242786	5.86848570511	6.33706542031	5.24003623784	10.5581073359	6.11261436251	5.42855441864	4.82865387796	5.36200792914	5.35121293691	5.78005969235	8.16253294952	10.971071335	B-cell class switched
B-cell class switched.3	6.30422454886	5.18389597525	10.2643849756	13.1255140872	5.74327160537	5.91160996354	6.31891199674	5.35516412031	10.0951189202	6.1203727496	5.79344122549	5.30751421611	5.62487143184	5.28182694742	5.98377740025	8.27471733275	11.1867693214	B-cell class switched
B-cell class switched.4	6.46081044646	5.64370855368	10.4651333884	12.9805329479	5.64965519712	6.03239526286	6.40873000289	5.21042176607	10.1825707759	5.9154191689	5.48486848806	5.41857945009	5.66549179519	5.44149624039	5.72611852282	8.48518472075	10.9920359492	B-cell class switched
B-cells	5.89793641814	5.48838549381	10.5550760543	13.0265365599	5.35352303707	5.38293550161	6.54860132803	5.56646416919	10.853006987	5.63259481049	5.52617909217	5.1649757431	5.57444579999	5.18577395765	6.51238406731	7.64851286541	10.8413359813	B-cells
B-cells.1	6.4245432485	6.24976929897	9.99882140971	13.0058742818	6.07608836207	6.73470103503	5.97163542574	5.62821550491	10.3442525148	6.42360584342	5.83267198841	5.07651114886	5.40652395416	5.49982649898	6.24320511665	7.87230304364	10.5317554082	B-cells
B-cells.2	6.17593830371	5.49291407808	10.4483593446	12.9806018665	5.36895349626	5.79242894919	6.54355718469	5.38149100054	10.8160716952	6.05268827291	5.54872759763	4.73624548563	5.56063221545	5.45198791634	6.02343860909	7.6170383373	10.8562314059	B-cells
B-cells.3	6.39048699813	5.46737847247	10.536816851	12.9341745588	5.48478366991	5.56777105059	6.25026267201	5.2412089555	9.96678607123	6.07323419458	5.84205828416	5.58995304636	5.35003603693	5.45640414602	6.98361705085	8.00421662349	11.0022931141	B-cells
B-cells.4	6.70296907441	5.20270593066	10.8157215352	12.8871101432	5.38378828711	6.48392938487	5.96099112025	5.5437591422	10.2923632159	6.04949350296	5.88917888524	6.02346301977	5.35967688756	5.16910862351	6.17406705474	8.11654316307	10.7851013074	B-cells
Basophils	9.63014190078	5.92060001439	10.1746863136	12.1246519979	7.87496475237	10.5242987718	7.01820414205	5.36052519919	10.6452111848	8.04739475939	5.35916304238	6.86261036824	5.90963289316	5.1133212981	7.61329899357	6.55768774429	10.0252896616	Basophils
Basophils.1	9.4254477016	6.11885361591	10.6642628106	12.0562525528	6.67541561043	9.37601382529	6.97270378357	5.41201530479	10.6205482862	7.79421703859	5.07441113148	6.5254398028	5.9925466909	5.80586179773	8.05851147456	6.71773429577	8.99023016703	Basophils
Basophils.2	7.85675933084	5.97836726175	9.57732829113	11.1805325734	5.74902268645	6.21488576322	7.10691705598	6.29299150917	8.94798509885	6.41118416982	5.61853460165	8.29674266835	6.17044135936	5.16709343576	5.7945542668	6.75810315367	8.69748803086	Basophils
Basophils.3	8.02143966282	5.982123536	9.77967258888	11.8122050701	5.46278617815	6.08262231633	6.2082869404	5.43397081956	10.1468392222	6.80487895471	5.3831686262	7.75802227533	5.80176024497	5.40576844574	5.98221152039	6.53660491559	9.41167809463	Basophils
Basophils.4	9.66818753379	6.56302747706	10.3791453989	11.9858605047	5.49693015136	9.6565440505	6.46105711333	5.99472646408	10.5042279128	6.62309554415	5.46984003268	7.0373409078	6.20067332178	6.26184889855	6.50071412744	6.75965221374	9.53775372696	Basophils
Basophils.5	7.96054433524	5.84729353794	10.1294947565	12.3607428097	5.3939245512	7.13239177663	6.58797065404	5.64064901002	10.0253068583	6.30441261981	5.46510067997	6.82526418872	6.0729440646	5.40087010581	6.18774052247	6.81128324127	10.2085807015	Basophils
CD4+Centr.Mem.	7.22645794043	6.26875969108	10.9918906418	12.6663028448	5.33955124407	5.44593435758	6.00713123114	5.32653766149	9.53838469953	6.23144027717	5.18777886031	6.51280813799	6.18858544695	5.13627352081	6.00024120908	7.81681292657	10.9063144294	CD4+Centr
CD4+Centr.Mem..1	7.71231973773	6.11908416627	10.5026848743	12.2145958169	5.56361011332	5.30196289132	5.9148048532	5.37964442673	9.53024844834	6.09803766352	5.48682128487	7.00094853979	6.00200221976	5.32391386416	5.98640691234	7.13060952049	10.6591430301	CD4+Centr
CD4+Centr.Mem..2	6.56580095607	5.40021138396	11.2580023886	13.0400026336	5.63860414105	5.52697320351	5.77437333467	5.40473807104	10.5459861179	5.95266196461	5.7341984861	5.44398970639	6.17876516013	4.96034765877	5.81500960151	8.43468221241	11.0360991707	CD4+Centr
CD4+Centr.Mem..3	6.44414105804	5.78450896701	11.2578179155	13.1006202678	5.25456905606	5.3368832587	5.7882797789	5.13416544857	9.33636918167	5.84207956277	5.36120533955	6.20258038842	5.76450614346	5.2560683358	6.10733951231	8.13085548934	11.715418671	CD4+Centr
CD4+Centr.Mem..4	6.62423011652	5.78962704946	11.4830392969	13.1746876016	5.50556778773	5.46460242156	5.93096056531	5.17786665159	9.07022129593	6.31998606318	5.46315107277	6.35316782186	5.94390094714	5.02950309383	5.95973161737	7.69132158166	11.3437491834	CD4+Centr
CD4+Centr.Mem..5	6.63868700902	5.75677408395	11.7380798884	13.2536250012	5.46956438177	5.9518100886	5.47753840074	5.33674115932	9.99527738992	6.37271389231	5.80613639563	5.9502063629	6.23628735115	5.17980951926	5.65557727817	8.4178276506	11.2811730245	CD4+Centr
CD4+Centr.Mem..6	6.4618694243	5.28156845371	11.6110634163	13.0348593308	5.33660816574	5.76160676532	5.83776846343	5.12840947931	10.2053292682	5.75068660032	5.11139006925	6.42478251711	6.25242312185	5.048955442	5.72121702033	8.39809000209	11.1713507549	CD4+Centr
CD4+Effec.Mem.	8.07190229571	5.71628557034	10.6639979869	11.9597897902	5.26441422083	5.41801264755	6.17463146028	5.24382678039	8.7469879498	6.08812474279	5.40744418884	7.61298130034	6.15580296118	5.0859359322	5.78802132314	7.52068788782	10.842220786	CD4+Effec
CD4+Effec.Mem..1	8.17523604806	6.28438297257	10.3650552812	12.1336503068	5.70301526578	5.84132381943	6.29851803222	5.12082486381	8.86964745394	6.44702751821	5.36480861709	7.88503103986	5.89766317309	5.23495471348	5.94597716213	6.26870453774	10.0482821008	CD4+Effec
CD4+Effec.Mem..2	6.84594377486	5.52529823155	11.6019660617	13.0608393709	5.19079561555	5.52960562605	5.44071952445	5.16216168629	10.6214755784	6.41680365153	5.51468604005	5.06446878075	5.95318387572	5.20970429019	5.54296814736	8.69452892786	11.098122936	CD4+Effec
CD4+Effec.Mem..3	6.89455044036	5.87531721514	11.5063117329	13.0218348953	5.68707238817	5.71949876073	6.16269418713	5.34364335219	9.1353959262	6.14640851239	5.41533780866	6.7410523166	5.53185481418	4.99286840065	5.63292831398	8.15594005937	11.2639249061	CD4+Effec
CD4+Effec.Mem..4	6.36754738334	5.66395865923	11.6819925436	13.0547638328	5.61004048738	6.2059763035	5.93719871088	5.43422117317	10.1107865618	8.36726902742	5.63997676769	5.26141540762	5.87815284579	5.42044531495	5.65709550503	8.12498602241	10.9155817627	CD4+Effec
CD4+Effec.Mem..5	6.7226154821	5.80273496538	11.7373514331	13.1170443778	5.49705128512	5.66889725291	5.81361918828	5.11570184265	9.13365916143	6.64567419294	5.08752831996	6.01731072255	6.09110458088	4.98584969263	5.94634717094	8.17382521192	11.2366061333	CD4+Effec
CD4+Effec.Mem..6	7.22638942112	5.3016710426	11.6070652458	12.9460323729	5.39910643642	5.68814590914	5.86812458263	5.29913067866	10.1859630219	6.03654618966	5.34462867185	6.51084588381	5.68090990798	5.17820816223	5.84810586269	8.13794172053	11.1012051022	CD4+Effec
CD8+Centr.Mem.	6.83482869573	6.18940340686	10.4160833579	12.3076260791	5.2922879447	5.73263503909	6.01201346807	5.62964060637	9.75583128031	6.53456360786	5.30587887784	6.85951792221	5.91406281548	5.06936992889	5.76339613655	7.07422214336	10.1718426011	CD8+Centr
CD8+Centr.Mem..1	8.592262698	6.09354178285	10.2758581809	12.2528323109	5.55161228461	5.49008673318	6.32623637275	5.6774936151	9.88325747012	6.29762942764	5.30018079171	6.59384130913	6.04569978537	5.14113795976	5.94662854496	6.4544312114	10.4477840802	CD8+Centr
CD8+Centr.Mem..2	6.75731933875	5.0604325207	11.0517894074	13.0147647788	5.22175835904	6.17897505063	5.51573954579	5.52293528577	10.7354936994	6.49286468595	5.51064957945	5.13208938348	5.77009114614	5.23513816587	6.28670610112	8.42620336079	11.1082782285	CD8+Centr
CD8+Centr.Mem..3	6.16707839515	5.37923971359	11.2774334209	13.0713703826	5.4510074576	6.18319530416	5.96039791408	5.33464333366	10.1545091232	6.29897125424	5.5737547997	5.66551669376	5.74499805831	5.24098751833	5.75418713765	8.54324827053	10.9144849933	CD8+Centr
CD8+Centr.Mem..4	6.6206026744	5.04960404061	11.5329393156	13.0781986269	5.41893719116	5.91173234868	5.59192085633	5.37091011774	10.162659042	5.96492437417	5.57764773876	5.65088040475	5.74811240747	5.15701587602	6.53395705215	8.46280149026	10.8812672115	CD8+Centr
CD8+Centr.Mem..5	6.48362579373	5.40935341319	11.4715198861	13.1092936093	5.65757972055	5.83678744223	5.45088769819	5.19743877373	10.2554401705	6.32975151431	5.26999882723	5.64309166865	6.0660246656	5.20267915849	6.24180483123	8.6606334743	11.1417493416	CD8+Centr
CD8+Centr.Mem..6	7.01749864182	5.58601906737	10.290942122	13.0444202359	5.54295167435	5.28157184011	6.35168873261	5.30587490203	8.78200308062	5.85955425304	5.53151979139	7.24918366757	6.07734830981	5.3600671119	6.27520003827	8.2776157457	10.6700173409	CD8+Centr
CD8+Effec.Mem.	7.72876002204	6.23183816682	10.3203919692	12.2222754551	5.51221679456	5.58496878187	6.38301130076	5.30267879773	9.42251194143	6.59355027183	5.23256910264	7.18661798078	5.80156176952	5.40087010581	5.64422285519	6.92462750493	10.1369224309	CD8+Effec
CD8+Effec.Mem..1	7.07395139158	6.14505544929	11.4371901676	12.9200188775	5.41421833333	5.29423841398	6.24772544822	5.39987018112	10.2373679259	6.24817739024	5.24443259467	6.43905014359	5.75836330845	5.1073274898	6.58171097412	8.52157304364	10.9218259097	CD8+Effec
CD8+Effec.Mem..2	6.64019413653	5.36843944377	11.689578095	13.0013992513	5.51051533891	5.61040444954	5.919646934	5.64498205752	9.74784539706	6.40656020561	5.34861171246	6.61065613075	5.56910301014	5.07693054478	6.29734683727	8.59221721495	11.3310473609	CD8+Effec
CD8+Effec.Mem..3	6.38687320367	5.11964527931	11.6976409098	13.1045486534	5.48102945324	5.67616032507	6.03029097032	5.29707350711	9.19145055606	6.52772551889	5.59079414495	6.61019786318	6.32697628995	5.16053932631	5.7976909568	9.14449407017	11.1016526644	CD8+Effec
CD8+Effec.Mem..4	6.48042784684	5.35207717644	11.7465440867	12.9198019131	5.3028886349	5.67994682942	5.26289124132	5.53330196006	10.0836368188	6.17171128577	5.41297849978	5.25590907832	5.64885630824	5.20504285732	6.02401878521	8.64701242421	11.0272404341	CD8+Effec
CD8+Effec.Mem..5	6.86738982884	5.69129277719	11.1601907705	12.9812717472	5.28502545434	5.41527372704	6.13548210754	5.43774251648	9.22328729826	6.27491337158	5.42950466418	7.67310229588	5.6264511431	5.27710487051	5.87887561817	8.09502290633	10.5243381487	CD8+Effec
CD8+Effec.Mem.RA	8.48837860333	6.27325276976	10.4784202712	11.444955177	5.62295561833	5.46480139307	6.93603281715	6.10664528228	9.48955060319	6.25151055189	5.47166802415	7.2781959026	5.84693953971	5.19757399143	6.07344581326	7.69106749361	9.85240393713	CD8+Effec
CD8+Effec.Mem.RA.1	7.94333976557	6.51840884549	11.4075978388	12.8991053886	5.62635359846	5.98788082771	7.03036817158	5.55149596824	10.5974711615	6.27387588395	5.69334944833	5.30123688863	5.49848798916	5.58697910073	8.68056439501	8.82344703121	10.7399571242	CD8+Effec
CD8+Effec.Mem.RA.2	6.73835549374	5.92020092944	11.8538691611	13.0359586986	5.32318168726	5.90729212901	5.16909243851	5.37986697685	10.8081669897	5.82065502426	5.47096666754	6.2001595314	5.61470294333	5.77701410275	5.95941562783	9.20572969048	11.001101793	CD8+Effec
CD8+Effec.Mem.RA.3	5.7023539156	5.12785580404	12.0357597636	12.8121484662	5.35816268866	5.7211317301	5.95799257795	5.28427593333	10.5544548824	5.97844300632	5.73689243715	5.30146716185	5.47803024575	5.14700613017	5.8480112986	9.16580502173	10.9690125881	CD8+Effec
CFU-Granulo	9.19394218439	5.84454247682	11.8177083901	13.0766631515	5.57250138799	5.97728248677	6.52352381849	5.32047089684	10.6016888463	6.56942803924	5.76564012549	5.7760662818	5.9933437394	5.14957565143	5.98193431896	9.00744634242	10.9564071065	CFU-Granulo
CFU-Granulo.1	6.53572364251	5.27395033245	11.5126925798	13.0858496705	5.45461123689	5.7026499181	6.39535415642	5.13088023263	10.6610917443	7.15031602232	5.3635910641	5.34053970117	5.90006046697	5.21709164572	5.52975223156	8.75960129728	10.810858305	CFU-Granulo
CFU-Granulo.2	12.2661528143	6.3603013056	11.0295947415	13.0765143182	6.46004371667	10.6926655246	5.93105153863	7.01558322248	11.1726711685	8.04783010468	5.88671991408	9.72234045555	5.47216592845	5.24418144626	7.55654449922	9.21868312756	11.6024773936	CFU-Granulo
CFU-Granulo.3	10.4352425965	6.39675372691	11.2181785484	13.1694082311	6.82661141541	9.22936251737	6.33531903631	5.84305580242	11.0364307035	7.78239330431	5.33067663197	6.48752647904	5.70206294397	5.24292373652	8.00658896808	8.64989899464	10.8779198475	CFU-Granulo
CFU-Granulo.4	10.5233454922	6.8025920002	11.3818486288	13.0931984682	5.63280543079	11.3685013458	6.80499154893	9.06422394464	11.4306930771	7.86912026429	5.6497082935	7.77351149083	5.92930501467	5.75713735907	6.99870408981	9.02450310456	10.8388094032	CFU-Granulo
CFU-Megakaryo	13.0757856992	9.29575534704	10.7248030351	12.2033835676	5.53024091093	6.74904309024	6.23807214548	5.37993341072	10.1677425137	6.68464180598	5.87491320153	6.86764181618	6.14713325953	5.40087010581	9.55151418074	7.65694597927	10.0321895468	CFU-Megakaryo
CFU-Megakaryo.1	12.260365688	8.57203888976	11.1137274912	12.0095791821	5.51993170879	8.7244742853	6.12902502748	6.30777838623	10.7258446711	8.03390360822	6.00088952253	9.25137141373	5.96197093626	5.35595994158	9.75956057237	7.82237363577	10.5032378384	CFU-Megakaryo
CFU-Megakaryo.2	11.8008136147	8.6601386546	11.45134119	12.2895593421	5.95346135654	8.32104876734	6.33389577347	5.48912953135	10.9105749675	8.60447567169	5.96181784479	8.70700992263	5.87498551787	5.30343362861	9.53054471961	7.60967311792	10.2764986883	CFU-Megakaryo
CFU-Megakaryo.3	12.3385358177	8.60310003296	12.0645266943	12.9753515133	5.79693308984	7.92850851772	6.59616793302	5.53336021119	11.2963805943	9.29367161591	6.41237034236	8.89212517536	6.00748738075	5.32045686808	10.849941393	8.52007556961	11.6502144428	CFU-Megakaryo
CFU-Megakaryo.4	11.5540793951	8.35977097439	12.1848386809	12.645139726	7.27001570252	8.19521727373	6.34449748066	5.88031531773	10.9738256479	9.69919943027	5.3373014687	8.11831393934	6.12822410889	5.44361888496	10.0507349739	8.47107116318	11.4205094529	CFU-Megakaryo
CFU-Mono	9.34880920992	5.58214096174	11.3154015248	12.0318553742	5.70891908931	12.1685334797	7.71666052494	10.2019914407	11.4704240099	6.69562472171	5.5587000131	6.84157593141	5.67090789587	7.36016293047	6.96752818257	7.61273827899	10.1530043278	CFU-Mono
CFU-Mono.1	11.1936548369	6.67575250386	11.6161653548	12.499549258	9.55126671077	12.0616732187	8.14831756355	7.36209370449	11.8838978814	10.1567645078	6.03573436312	7.29806871056	5.49726084785	6.41677390426	9.60337513037	8.60865280209	10.7599611818	CFU-Mono
CFU-Mono.2	10.0772166448	5.95650361368	9.76612530982	11.4882993627	5.69102817913	9.65071298708	8.44175285123	8.23704873913	10.2194443322	6.07963375892	5.77063611047	8.26421396171	6.36007754537	6.29659925248	6.01656141926	6.70826371584	9.44512643864	CFU-Mono
